Something wrong while deleting your account. Please contact the store owner.,Beim Löschen Ihres Kontos stimmt etwas nicht. Bitte wenden Sie sich an den Ladenbesitzer.
You will go to our homepage in 5 seconds.,Sie werden in 5 Sekunden auf unsere Startseite weitergeleitet.
Delete Account,Konto löschen
Delete your account,Ihr Konto löschen
Are you sure you want to delete your account?,"Sind Sie sicher, dass Sie Ihr Konto löschen möchten?"
Delete Address,Adresse löschen
GDPR,DSGVO (Datenschutz-Grundverordnung)
General Configuration,Allgemeine Konfiguration
Enable,Aktivieren
Allow Delete Customer Account,Kundenkonto löschen erlauben
Delete message,Nachricht löschen
The message will be shown on Delete Account area. HTML code is allowed.,Die Nachricht wird im Konto-Löschung Bereich angezeigt. HTML-Code ist erlaubt.
Allow Delete Default Address,Erlaubt das Löschen der Standardadresse
Your account has been deleted.,Ihr Konto wurde gelöscht.
